,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
0,2020-05-17 13:06:26,VupG1jotI39IKr4,,0,0,0,코로나가 경제질서를 망가뜨리고 있음.,,,,1262006564472287238,https://twitter.com/VupG1jotI39IKr4/status/1262006564472287238
1,2020-05-17 13:06:23,IEEZwMK9LSf04UI,,0,0,0,코로나19 마스크 착용! 사회적거리두기 문앞까지 배송으로 저렴한 생필품 안전하게 주문하세요 https://coupa.ng/bwZ9H1,,,,1262006551046311936,https://twitter.com/IEEZwMK9LSf04UI/status/1262006551046311936
2,2020-05-17 13:06:23,kokkrra,FromBTS_0613,0,0,0,"긍까 ㅠㅠㅠㅠㅠ 코로나,,,,, 대체 ..... 언제까지 갈거니 ",,,,1262006549943209985,https://twitter.com/kokkrra/status/1262006549943209985
3,2020-05-17 13:06:20,ykkr657,,0,0,0,코로나19 확진 여파 극복 긴급재난지원금 전화신청하세요. 정부 전국민 긴급재난지원금 조회 사이트 신용 체크카드 긴급재난지원금 사용처 신청방법 http://storyon.site/man12f6 8ueXsz1,,,,1262006537838399489,https://twitter.com/ykkr657/status/1262006537838399489
4,2020-05-17 13:06:18,hWQGKw3jaBQ4l4S,,0,0,0,"사회적거리두기, 긴급재난지원금 덴탈마스크 착용! 코로나19, 어버이날 대비해서 특가 제품들 미리 준비하세요! &gt;&gt; https://coupa.ng/bwzRNk",,,,1262006532448776194,https://twitter.com/hWQGKw3jaBQ4l4S/status/1262006532448776194
5,2020-05-17 13:06:09,gkgmde09,,0,0,0,요즘에 뭔가 조금만 아프면 코로난가 코로나면어카지라는 생각 먼저 들어,,,,1262006493726953473,https://twitter.com/gkgmde09/status/1262006493726953473
6,2020-05-17 13:06:09,HuChan_uhhuh,tos_1109,0,0,0,허르ㅡㅡ미친 코로나와야 사실,,,,1262006492514795520,https://twitter.com/HuChan_uhhuh/status/1262006492514795520
7,2020-05-17 13:05:54,MidNightscape_,2mSuVMLHWZfp6SL,0,0,0,ㅠㅠ.. ㅠㅠㅠㅠㅠ...... 너무 공감이에요ㅠㅠㅠㅠ 저도 온천및 사우나 성애자인데 코로나 때문에 엉엉,,,,1262006431747723265,https://twitter.com/MidNightscape_/status/1262006431747723265
8,2020-05-17 13:05:50,Gin_KOP_One,,0,0,0,에바 개봉연기되는거 사실 코로나때문 아니고 원래부터 연기하려고 햇는데 은근슬쩍 코로나때문에 연기한다고 하는거 다 알아 안속아,,,,1262006411996741640,https://twitter.com/Gin_KOP_One/status/1262006411996741640
9,2020-05-17 13:05:41,oxlodoxa,,0,0,0,좌빨 정부는 코로나 신령 덕분에 지난 총선에서 대승을 거뒀기 때문에 아마 지금도 코로나 신령이 계속 '보우하사 우리나라 만세'를 염원하고 있을지도 모른다. 이러는 동안 나라는 다시 올라오기 어려운 파멸의 나락으로 떨어지고 있다. 언제 이 추락이 끝이 날지 사실 누구도 예측할 수 없다.,,,,1262006376202526720,https://twitter.com/oxlodoxa/status/1262006376202526720
